Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date,Station Type,Sensor Type
US,KVTX,-97.8929,27.5459,,,,,14.6,2006-06-16,,Non-TexNet,Broadband
US,NATX,-94.661,31.7598,,,,,168,2004-05-12,,Non-TexNet,Broadband
US,MNTX,-105.3821,31.6985,United States National Seismic Network,TXHUB,,Cornudas Mountains,404.8,2003-05-29,,Non-TexNet,Broadband
US,MIAR,-93.5765,34.5454,United States National Seismic Network,TXHUB,,Mount Ida,207,1992-09-23,,Non-TexNet,Broadband
US,WMOK,-98.7807,34.7379,,,,,486,1992-11-12,,Non-TexNet,Broadband
US,AMTX,-101.6808,34.8837,,,,,1010,2002-09-29,,Non-TexNet,Broadband
US,CBKS,-99.7374,38.814,United States National Seismic Network,TXHUB,,Cedar Bluff,677,1994-09-12,,Non-TexNet,Broadband
MX,CCIG,-92.136917,16.281885,Mexican National Seismic Network,TXHUB,,Comitan,1625,2000-01-01,,Non-TexNet,Broadband
MX,TLIG,-98.566467,17.562675,Mexican National Seismic Network,TXHUB,,Tlapa,1136,2009-01-01,,Non-TexNet,Broadband
MX,ZAIG,-102.567001,22.769199,Mexican National Seismic Network,TXHUB,,Zacatecas,2408,1997-01-01,,Non-TexNet,Broadband
MX,CGIG,-107.977352,30.365044,SSN,TXHUB,,CASAS GRANDES,1524,2006-12-07,,Non-TexNet,Broadband
MX,HPIG,-105.664017,26.936794,SSN,TXHUB,,HIDALGO DEL PARRAL,1786,2006-12-20,,Non-TexNet,Broadband
MX,MCIG,-101.483627,27.977093,SSN,TXHUB,,MUZQUIZ,483,2015-02-09,,Non-TexNet,Broadband
MX,MYIG,-89.639614,20.948069,SSN,TXHUB,,MERIDA,13,2010-04-12,,Non-TexNet,Broadband
MX,LVIG,-96.4185,19.72622,SSN,TXHUB,,LAGUNA VERDE,57,1996-04-10,,Non-TexNet,Broadband
MX,BCIG,-105.412656,27.544763,SSN,TXHUB,,LA BOQUILLA,1265,2013-11-11,,Non-TexNet,Broadband
MX,LNIG,-99.465617,24.898167,SSN,TXHUB,,LINARES,329,2006-01-19,,Non-TexNet,Broadband
MX,MNIG,-100.29,26.61,SSN,TXHUB,,Monterrey,674,2016-01-01,,Non-TexNet,Broadband
MX,NZIG,-109.554158,30.373054,SSN,TXHUB,,NACOZARI,1546,2010-11-06,,Non-TexNet,Broadband
MX,SCIG,-91.186588,18.967037,SSN,TXHUB,,SABANCUY,18,2001-10-01,,Non-TexNet,Broadband
PI,SP00,-106.919,34.074,PASSCAL Pier Test Data,TXHUB,,Socorro,1430,2006-03-27,,Non-TexNet,Broadband
SC,Y22A,-106.965202,33.937,,,,,1674,2010-02-04,,Non-TexNet,Broadband
SC,JAL,-103.22932,32.20241,New Mexico Tech Seismic Network (),,,Jal,1020,2019-12-20,,Non-TexNet,Broadband
SC,PDB,-103.59662,32.0722,New Mexico Tech Seismic Network (),,,Paduca Breaks,1025,2019-12-20,,Non-TexNet,Broadband
SC,121A,-107.785103,32.532398,New Mexico Tech Seismic Network (),,,Cookes Peak,1652,2019-03-06,,Non-TexNet,Broadband
SC,LEM,-106.9742,34.1655,,,,,1698,1999-01-01,,Non-TexNet,Short period
SC,SBY,-107.180664,33.975166,New Mexico Tech Seismic Network (),,,South Baldy,3230,1999-01-01,,Non-TexNet,Short period
SC,SMC,-107.019302,33.778667,New Mexico Tech Seismic Network (),,,San Marcial,1560,1999-01-01,,Non-TexNet,Short period
IU,HKT,-95.83812,29.96478,,,,,69,1995-07-11,,Non-TexNet,Broadband
IU,ANMO,-106.457199,34.945911,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Albuquerque,1820,2008-06-30,,Non-TexNet,Broadband
IU,TEIG,-88.276299,20.226299,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Tepich,40,2014-10-30,,Non-TexNet,Broadband
EP,KIDD,-106.506376,31.771774,UTEP Seismic Network,TXHUB,,KIDD Seismic Observatory,1162.5,2009-10-08,,Non-TexNet,Broadband
TX,FW11,-97.12787,32.72273,,,,"Arlington, TX",197.5,2016-10-20,,TexNet Portable,Broadband
TX,FW04,-96.92325,32.84763,,,,"Dallas, TX",144.8,2016-09-28,,TexNet Portable,Broadband
TX,FW09,-96.913922,32.92282,,,,"Farmers Branch, TX",133.3,2016-09-29,,TexNet Portable,Broadband
TX,FW02,-97.34255,32.95019,,,,"Haslet, TX",226.5,2016-09-22,,TexNet Portable,Broadband
TX,FW05,-96.747081,32.988669,,,,"Dallas, TX",207.3,2016-11-16,,TexNet Portable,Broadband
TX,FW06,-97.55693,32.972559,,,,"Azle, TX",233,2016-10-19,,TexNet Portable,Broadband
TX,FW07,-97.786092,32.702466,,,,"Dallas, TX",310.9,2016-10-18,,TexNet Portable,Broadband
TX,FW12,-97.148597,32.499076,,,,"Alvarado, TX",203.9,2016-09-21,,TexNet Portable,Broadband
TX,FW01,-96.87833,32.684047,,,,"Dallas, TX",203.4,2016-10-19,,TexNet Portable,Broadband
TX,FW13,-97.43112,32.35172,,,,"Cleburne, TX",259,2016-11-15,,TexNet Portable,Broadband
TX,FW14,-97.1923,32.3991,,,,"Alvarado, TX",219,2016-11-15,,TexNet Portable,Broadband
TX,WTFS,-98.46455,33.76622,Unavailable,TXHUB,,"Witchita Falls, TX",277,2016-12-15,,TexNet Permanent,Broadband
TX,DKNS,-100.92365,33.66653,Unavailable,TXHUB,,"Dickens, TX",843,2016-12-17,,TexNet Permanent,Broadband
TX,APMT,-100.12155,33.32512,Unavailable,TXHUB,,"Aspermont,TX",501,2016-12-17,,TexNet Permanent,Broadband
TX,POST,-101.50105,33.0662,Unavailable,TXHUB,,"Post, TX",788.6,2016-12-21,,TexNet Permanent,Broadband
TX,ODSA,-102.54913,32.12009,Unavailable,TXHUB,,"Odessa, TX",943,2016-12-22,,TexNet Permanent,Broadband
TX,SAND,-102.12331,29.95471,Unavailable,TXHUB,,"Sanderson, TX",688.8,2017-02-07,,TexNet Permanent,Broadband
