Training Loss Log
==================================================
Epoch 1: Train Loss = 0.0107, Val Loss = 0.0063
Epoch 2: Train Loss = 0.0065, Val Loss = 0.0061
Epoch 3: Train Loss = 0.0064, Val Loss = 0.0060
Epoch 4: Train Loss = 0.0063, Val Loss = 0.0059
Epoch 5: Train Loss = 0.0062, Val Loss = 0.0059
Epoch 6: Train Loss = 0.0061, Val Loss = 0.0058
Epoch 7: Train Loss = 0.0061, Val Loss = 0.0057
Epoch 8: Train Loss = 0.0060, Val Loss = 0.0056
Epoch 9: Train Loss = 0.0060, Val Loss = 0.0056
Epoch 10: Train Loss = 0.0060, Val Loss = 0.0055
Epoch 11: Train Loss = 0.0059, Val Loss = 0.0055
Epoch 12: Train Loss = 0.0059, Val Loss = 0.0056
Epoch 13: Train Loss = 0.0059, Val Loss = 0.0055
Epoch 14: Train Loss = 0.0059, Val Loss = 0.0054
Epoch 15: Train Loss = 0.0058, Val Loss = 0.0055
Epoch 16: Train Loss = 0.0058, Val Loss = 0.0054
Epoch 17: Train Loss = 0.0058, Val Loss = 0.0054
Epoch 18: Train Loss = 0.0058, Val Loss = 0.0053
Epoch 19: Train Loss = 0.0058, Val Loss = 0.0053
Epoch 20: Train Loss = 0.0057, Val Loss = 0.0053
Epoch 21: Train Loss = 0.0057, Val Loss = 0.0054
Epoch 22: Train Loss = 0.0057, Val Loss = 0.0053
Epoch 23: Train Loss = 0.0056, Val Loss = 0.0053
Epoch 24: Train Loss = 0.0056, Val Loss = 0.0053
Epoch 25: Train Loss = 0.0056, Val Loss = 0.0053
Epoch 26: Train Loss = 0.0056, Val Loss = 0.0053
Epoch 27: Train Loss = 0.0055, Val Loss = 0.0053
Epoch 28: Train Loss = 0.0055, Val Loss = 0.0053
Epoch 29: Train Loss = 0.0055, Val Loss = 0.0053
